Statistical profiling result from isolate-0x3c50778-v8.log, (22345 ticks, 1749 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     46    0.2%          /lib/arm-linux-gnueabihf/libc-2.28.so
     42    0.2%          5aded000-5adee000
     22    0.1%          /usr/lib/arm-linux-gnueabihf/libstdc++.so.6.0.25
     15    0.1%          /lib/arm-linux-gnueabihf/libgcc_s.so.1
     14    0.1%          [vectors]
      1    0.0%          529f8000-529f9000

 [JavaScript]:
   ticks  total  nonlib   name
    301    1.3%    1.4%  LazyCompile: *FireOLED_SendMemMap /home/pi/nodeMidi/FireSequencer.js:2248:29
    225    1.0%    1.0%  LazyCompile: *PlotStringToPixelMemMap /home/pi/nodeMidi/FireSequencer.js:2001:33
     92    0.4%    0.4%  LazyCompile: *processTimers timers.js:220:23
     88    0.4%    0.4%  LazyCompile: *clearOLEDmemMap /home/pi/nodeMidi/FireSequencer.js:2376:25
     75    0.3%    0.3%  Builtin: InterpreterEntryTrampoline
     67    0.3%    0.3%  Builtin: KeyedLoadIC
     64    0.3%    0.3%  LazyCompile: *emit events.js:147:44
     62    0.3%    0.3%  Builtin: StoreIC
     56    0.3%    0.3%  LazyCompile: ~<anonymous> /home/pi/nodeMidi/FireSequencer.js:1198:41
     55    0.2%    0.2%  LazyCompile: *updateAllGridBtnLEDs /home/pi/nodeMidi/FireSequencer.js:2060:30
     51    0.2%    0.2%  LazyCompile: *playNote /home/pi/nodeMidi/FireSequencer.js:1059:18
     45    0.2%    0.2%  LazyCompile: ~FireOLED_SendMemMap /home/pi/nodeMidi/FireSequencer.js:2248:29
     45    0.2%    0.2%  LazyCompile: *gotData /home/pi/nodeMidi/node_modules/node-ipc/dao/socketServer.js:156:17
     40    0.2%    0.2%  Builtin: StringAdd_CheckNone_NotTenured
     38    0.2%    0.2%  Builtin: KeyedLoadIC_Megamorphic
     37    0.2%    0.2%  Stub: JSEntryStub
     32    0.1%    0.1%  Builtin: Call_ReceiverIsAny
     31    0.1%    0.1%  Builtin: GetProperty
     30    0.1%    0.1%  Builtin: CallFunction_ReceiverIsAny
     28    0.1%    0.1%  Builtin: KeyedStoreIC
     27    0.1%    0.1%  LazyCompile: ~updateAllGridBtnLEDs /home/pi/nodeMidi/FireSequencer.js:2060:30
     21    0.1%    0.1%  LazyCompile: ~gotData /home/pi/nodeMidi/node_modules/node-ipc/dao/socketServer.js:156:17
     21    0.1%    0.1%  LazyCompile: ~displayTrackAndPatInfo /home/pi/nodeMidi/FireSequencer.js:1943:32
     19    0.1%    0.1%  Builtin: LoadIC
     17    0.1%    0.1%  LazyCompile: ~stepHighlight /home/pi/nodeMidi/FireSequencer.js:1143:23
     17    0.1%    0.1%  LazyCompile: ~playNote /home/pi/nodeMidi/FireSequencer.js:1059:18
     17    0.1%    0.1%  LazyCompile: ~ontimeout timers.js:429:19
     17    0.1%    0.1%  LazyCompile: ~emit /home/pi/nodeMidi/node_modules/event-pubsub/es5.js:61:18
     16    0.1%    0.1%  Stub: CallApiCallbackStub
     16    0.1%    0.1%  LazyCompile: *ArraySpliceFallback native array.js:452:29
     15    0.1%    0.1%  Builtin: JSEntryTrampoline
     13    0.1%    0.1%  LazyCompile: ~nextTick internal/process/next_tick.js:96:20
     13    0.1%    0.1%  Builtin: KeyedLoadIC_PolymorphicName
     13    0.1%    0.1%  Builtin: CEntry_Return1_DontSaveFPRegs_ArgvOnStack_NoBuiltinExit
     12    0.1%    0.1%  LazyCompile: *PlotBitmapToPixelMemmap /home/pi/nodeMidi/FireSequencer.js:2360:33
     12    0.1%    0.1%  Builtin: KeyedStoreIC_Megamorphic
     11    0.0%    0.0%  LazyCompile: ~insert timers.js:167:16
     11    0.0%    0.0%  LazyCompile: *onStreamRead internal/stream_base_commons.js:87:22
     11    0.0%    0.0%  Builtin: Equal
     11    0.0%    0.0%  Builtin: CallFunction_ReceiverIsNotNullOrUndefined
     11    0.0%    0.0%  Builtin: CEntry_Return1_DontSaveFPRegs_ArgvOnStack_BuiltinExit
     10    0.0%    0.0%  LazyCompile: ~_tickCallback internal/process/next_tick.js:41:25
     10    0.0%    0.0%  Builtin: CompileLazy
      9    0.0%    0.0%  Stub: DirectCEntryStub
      9    0.0%    0.0%  Stub: CallApiCallbackStub {1}
      9    0.0%    0.0%  LazyCompile: ~maybeReadMore _stream_readable.js:579:23
      9    0.0%    0.0%  LazyCompile: ~emit$ /home/pi/nodeMidi/node_modules/event-pubsub/es5.js:90:19
      9    0.0%    0.0%  LazyCompile: ~ArraySpliceFallback native array.js:452:29
      8    0.0%    0.0%  Stub: ArraySingleArgumentConstructorStub
      8    0.0%    0.0%  LazyCompile: ~readableAddChunk _stream_readable.js:232:26
      8    0.0%    0.0%  LazyCompile: ~maybeReadMore_ _stream_readable.js:586:24
      8    0.0%    0.0%  LazyCompile: ~encBankUpdate /home/pi/nodeMidi/FireSequencer.js:1863:23
      8    0.0%    0.0%  LazyCompile: ~emit /home/pi/nodeMidi/node_modules/node-ipc/dao/socketServer.js:72:14
      8    0.0%    0.0%  Builtin: OrdinaryToPrimitive_Number
      8    0.0%    0.0%  Builtin: ForInEnumerate {1}
      7    0.0%    0.0%  LazyCompile: ~Readable.read _stream_readable.js:391:35
      7    0.0%    0.0%  Builtin: DeleteProperty
      7    0.0%    0.0%  Builtin: CallWithArrayLike
      7    0.0%    0.0%  Builtin: CallVarargs
